genres,feature_1,feature_2,feature_pair,test_accuracy_k5,songs_per_genre
classical / hip-hop / metal,danceability,acousticness,danceability + acousticness,0.9084380610412927,927
classical / hip-hop / metal,danceability,energy,danceability + energy,0.8599640933572711,927
classical / hip-hop / metal,speechiness,acousticness,speechiness + acousticness,0.8491921005385996,927
classical / hip-hop / metal,energy,acousticness,energy + acousticness,0.8456014362657092,927
classical / hip-hop / metal,acousticness,instrumentalness,acousticness + instrumentalness,0.8366247755834829,927
classical / hip-hop / metal,acousticness,liveness,acousticness + liveness,0.8348294434470377,927
classical / hip-hop / metal,energy,speechiness,energy + speechiness,0.8348294434470377,927
classical / hip-hop / metal,acousticness,valence,acousticness + valence,0.829443447037702,927
classical / hip-hop / metal,energy,valence,energy + valence,0.7863554757630161,927
classical / hip-hop / metal,energy,instrumentalness,energy + instrumentalness,0.7827648114901257,927
classical / hip-hop / metal,danceability,instrumentalness,danceability + instrumentalness,0.7666068222621185,927
classical / hip-hop / metal,energy,liveness,energy + liveness,0.7396768402154399,927
classical / hip-hop / metal,danceability,speechiness,danceability + speechiness,0.7271095152603232,927
classical / hip-hop / metal,speechiness,instrumentalness,speechiness + instrumentalness,0.6929982046678635,927
classical / hip-hop / metal,danceability,valence,danceability + valence,0.6929982046678635,927
classical / hip-hop / metal,danceability,liveness,danceability + liveness,0.6804308797127468,927
classical / hip-hop / metal,instrumentalness,valence,instrumentalness + valence,0.6373429084380611,927
classical / hip-hop / metal,instrumentalness,liveness,instrumentalness + liveness,0.6265709156193896,927
classical / hip-hop / metal,speechiness,liveness,speechiness + liveness,0.6014362657091562,927
classical / hip-hop / metal,speechiness,valence,speechiness + valence,0.5691202872531418,927
classical / hip-hop / metal,liveness,valence,liveness + valence,0.4919210053859964,927
classical / hip-hop / rock,speechiness,acousticness,speechiness + acousticness,0.8178571428571428,933
classical / hip-hop / rock,danceability,acousticness,danceability + acousticness,0.8125,933
classical / hip-hop / rock,danceability,energy,danceability + energy,0.7928571428571428,933
classical / hip-hop / rock,energy,speechiness,energy + speechiness,0.7875,933
classical / hip-hop / rock,energy,acousticness,energy + acousticness,0.7642857142857142,933
classical / hip-hop / rock,danceability,instrumentalness,danceability + instrumentalness,0.7607142857142857,933
classical / hip-hop / rock,speechiness,instrumentalness,speechiness + instrumentalness,0.7553571428571428,933
classical / hip-hop / rock,acousticness,instrumentalness,acousticness + instrumentalness,0.7517857142857143,933
classical / hip-hop / rock,danceability,speechiness,danceability + speechiness,0.75,933
classical / hip-hop / rock,acousticness,liveness,acousticness + liveness,0.7482142857142857,933
classical / hip-hop / rock,acousticness,valence,acousticness + valence,0.7446428571428572,933
classical / hip-hop / rock,energy,instrumentalness,energy + instrumentalness,0.7339285714285714,933
classical / hip-hop / rock,danceability,valence,danceability + valence,0.7017857142857142,933
classical / hip-hop / rock,energy,liveness,energy + liveness,0.6910714285714286,933
classical / hip-hop / rock,energy,valence,energy + valence,0.6875,933
classical / hip-hop / rock,instrumentalness,liveness,instrumentalness + liveness,0.6803571428571429,933
classical / hip-hop / rock,danceability,liveness,danceability + liveness,0.6785714285714286,933
classical / hip-hop / rock,instrumentalness,valence,instrumentalness + valence,0.6678571428571428,933
classical / hip-hop / rock,speechiness,liveness,speechiness + liveness,0.6642857142857143,933
classical / hip-hop / rock,speechiness,valence,speechiness + valence,0.6517857142857143,933
classical / hip-hop / rock,liveness,valence,liveness + valence,0.5660714285714286,933
classical / hip-hop / pop,acousticness,instrumentalness,acousticness + instrumentalness,0.7546816479400749,889
classical / hip-hop / pop,danceability,acousticness,danceability + acousticness,0.7340823970037453,889
classical / hip-hop / pop,speechiness,acousticness,speechiness + acousticness,0.7303370786516854,889
classical / hip-hop / pop,acousticness,valence,acousticness + valence,0.7284644194756554,889
